Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;19-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;20;;;  Tilt    ;;3,5;  Ha  ;20.000;70.000;13.300;83.300;  Massai  ;;;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;19-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;22;;;  Bravo/bulldock/trainer/smg/li700  ;;2;  Ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  G.Gonzalez San PedroApioCultivar ; Brice_oSan PedroApioCultivar ;20-08-16;Brice_o;  Cultivar  ; Cultivar ;; San Pedro ; Apio ;;;;;;;3;  Ha  ;25.000;75.000;14.250;89.250;  G.Gonzalez  ;;;
  Martinez PocochayApioMelgado ; Brice_oPocochayApioMelgado ;21-08-16;Brice_o;  Aporcar  ;Melgado;; Pocochay ; Apio ;;;;;;;1,2;  Ha  ;25.000;30.000;5.700;35.700;  Martinez  ;;;
  Martinez PocochayApioAcequiar ; Brice_oPocochayApioAcequiar ;24-08-16;Brice_o;Acequiar;Acequiar;; Pocochay ; Apio ;;;;;;;;;8.000;  -   ;  -   ;  -   ;  Martinez  ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;25-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;23;;;  Cantus/selecron/sorba/li700  ;;2;  ha  ;20.000;20.000;3.800;23.800;  Massai  ;;;
 ValcamLlay llayKale 17Otros ; Brice_oLlay llayKale 17Otros ;29-08-16;Brice_o;  Varios  ; Otros ;; Llay llay ; Kale 17 ;1;163;;;  Segun detalle  ;;12;  ha  ;1;3.576.000;;3.576.000; Valcam ;;;
 ValcamLlay llayKale 17Otros ; Brice_oLlay llayKale 17Otros ;29-08-16;Brice_o;  Varios  ; Otros ;; Llay llay ; Kale 17 ;2;164;;;  Segun detalle  ;;1,5;  ha  ;1;447.500;;447.500; Valcam ;;;
 ValcamLlay llayKale 17Otros ; Brice_oLlay llayKale 17Otros ;29-08-16;Brice_o;  Varios  ; Otros ;; Llay llay ; Kale 17 ;2;165;;;  Segun detalle  ;;1,5;  ha  ;1;84.000;;84.000; Valcam ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;05-09-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;  shirlan/bravo/selecron/sorba/li700  ;;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  Massai San JorgeColiflorAplic. Pesticidas ; Brice_oSan JorgeColiflorAplic. Pesticidas ;05-09-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; San Jorge ; Coliflor ;;;;;  Ampligo  ;;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;;;
  Massai San JorgeApioAplic. Pesticidas ; Brice_oSan JorgeApioAplic. Pesticidas ;14-09-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; San Jorge ; Apio ;;;;;  Buldock/bravo/coron  ;;16,5;  ha  ;20.000;330.000;62.700;392.700;  Massai  ;;;
  G.Gonzalez San PedroApioCultivar ; Brice_oSan PedroApioCultivar ;16-09-16;Brice_o;  Cultivar  ; Cultivar ;; San Pedro ; Apio ;;171;;;  segìn detalle  ;;3;  ha  ;25.000;75.000;;75.000;  G.Gonzalez  ;;;
